final rank,initial rank,user,CLD,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
11,12,yanyn,i,0.2559 ± 0.0026,0.5818 ± 0.0071,0.5628 ± 0.0105,0.7522 ± 0.0065,0.5782 ± 0.0060,https://github.com/yan-notes/openadmet_submit_yan
12,9,crh201,i,0.2544 ± 0.0028,0.5824 ± 0.0079,0.5510 ± 0.0129,0.7366 ± 0.0071,0.5610 ± 0.0063,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
13,58,arabica,j,0.2581 ± 0.0028,0.5880 ± 0.0075,0.5352 ± 0.0115,0.7514 ± 0.0067,0.5765 ± 0.0062,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
14,15,Gashaw,k,0.2596 ± 0.0026,0.5915 ± 0.0072,0.5526 ± 0.0111,0.7364 ± 0.0070,0.5622 ± 0.0063,https://docs.google.com/document/d/1-CgaIBOqN_156l_J2Ujx0tDy7OOq60k1YD0RJTqkG80/edit?usp=sharing
15,19,c-test,l,0.2607 ± 0.0027,0.5940 ± 0.0074,0.5463 ± 0.0109,0.7509 ± 0.0066,0.5768 ± 0.0061,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
16,14,Universal15,"l,m",0.2626 ± 0.0028,0.5955 ± 0.0076,0.5438 ± 0.0114,0.7520 ± 0.0069,0.5751 ± 0.0062,https://docs.google.com/document/d/1RQTj1BBOKmtHgXschFUa_ZUdz1a0juRI0eXwnnLkPZE/edit?usp=sharing
17,27,echo,m,0.2619 ± 0.0027,0.5968 ± 0.0076,0.5416 ± 0.0112,0.7548 ± 0.0066,0.5806 ± 0.0061,https://docs.google.com/document/d/1nUIr9-EZc401HPdzErG6YnzW3BVy7I2CHUXqaIELLaY/edit?usp=sharing
18,10,Artichoke,"m,n",0.2623 ± 0.0029,0.5974 ± 0.0074,0.5173 ± 0.0115,0.7209 ± 0.0071,0.5543 ± 0.0063,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
19,16,UncertainTea,"n,o",0.2661 ± 0.0027,0.5989 ± 0.0073,0.5508 ± 0.0107,0.7428 ± 0.0068,0.5666 ± 0.0062,https://github.com/un-certain-tea/OpenADMET-ExpansionRx-Challenge
20,70,liberica,"o,p",0.2641 ± 0.0028,0.5999 ± 0.0075,0.5224 ± 0.0117,0.7491 ± 0.0070,0.5734 ± 0.0063,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
21,21,beardy-polonium,"p,q",0.2673 ± 0.0028,0.6017 ± 0.0075,0.5345 ± 0.0116,0.7406 ± 0.0069,0.5672 ± 0.0062,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
22,40,Ensem,q,0.2634 ± 0.0028,0.6029 ± 0.0077,0.5340 ± 0.0112,0.7520 ± 0.0067,0.5770 ± 0.0062,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?tab=t.0
23,30,JacksonBurns,r,0.2670 ± 0.0029,0.6061 ± 0.0075,0.5266 ± 0.0114,0.7367 ± 0.0067,0.5577 ± 0.0062,https://github.com/JacksonBurns/openadmet_expansionrx/tree/f8efff6e739555337043574af3657cbe7af3e478
